,image_id,eps,IoU_vanillaperturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension,IoU_extension_greedy,tmps_greedy
5262,807,0.00392156862745098,whitenoise,0.23692083358764648,"[0.8293135562650003, 0.9889550557717639]",6.198883056640625e-05,"[0.8702166080474854, 0.952119]",0.007422208786010742,"[0.8702166080474854, 0.952118992805481]",0.014076948165893555
5263,807,0.00784313725490196,whitenoise,0.25995397567749023,"[0.6440717701764058, 1]",6.29425048828125e-05,"[0.776299238204956, 0.9912196]",0.007558107376098633,"[0.776299238204956, 0.9912195801734924]",0.014453887939453125
5264,807,0.011764705882352941,whitenoise,0.2585878372192383,"[0.43040299265476956, 1]",6.222724914550781e-05,"[0.6419247388839722, 1.0]",0.0077402591705322266,"[0.6419247388839722, 1.0]",0.01491093635559082
5265,807,0.01568627450980392,whitenoise,0.2521829605102539,"[0.2633024727993732, 1]",6.103515625e-05,"[0.4897902011871338, 1.0]",0.007385969161987305,"[0.4897902011871338, 1.0]",0.014491081237792969
5266,807,0.0196078431372549,whitenoise,0.26662302017211914,"[0.14167230080305634, 1]",7.081031799316406e-05,"[0.33475375175476074, 1.0]",0.008082151412963867,"[0.33475375175476074, 1.0]",0.015337944030761719
5267,808,0.0,whitenoise,0.2534489631652832,"[0.8995344106940597, 0.8995344106940597]",6.985664367675781e-05,"[0.8995344042778015, 0.8995344]",0.007730960845947266,"[0.8995344042778015, 0.8995344042778015]",0.013934135437011719
5268,808,0.00392156862745098,whitenoise,0.25888800621032715,"[0.8244902011602777, 0.9813876486695075]",6.29425048828125e-05,"[0.8591652512550354, 0.93932205]",0.0074312686920166016,"[0.8591652512550354, 0.9393220543861389]",0.013813018798828125
5269,808,0.00784313725490196,whitenoise,0.29336977005004883,"[0.6962130948129843, 1]",7.677078247070312e-05,"[0.7897588014602661, 0.99579203]",0.009046077728271484,"[0.7897588014602661, 0.995792031288147]",0.015288114547729492
5270,808,0.011764705882352941,whitenoise,0.2668190002441406,"[0.47416013413572455, 1]",7.510185241699219e-05,"[0.668921172618866, 1.0]",0.009593725204467773,"[0.668921172618866, 1.0]",0.01637411117553711
5271,808,0.01568627450980392,whitenoise,0.2800261974334717,"[0.29977153697620973, 1]",7.390975952148438e-05,"[0.5189979076385498, 1.0]",0.008951187133789062,"[0.5189979076385498, 1.0]",0.015117645263671875
5272,808,0.0196078431372549,whitenoise,0.24515080451965332,"[0.18332714578198483, 1]",6.198883056640625e-05,"[0.3833256959915161, 1.0]",0.007607221603393555,"[0.3833256959915161, 1.0]",0.01517796516418457
5273,808,0.023529411764705882,whitenoise,0.26279687881469727,"[0.10551226318158369, 1]",7.510185241699219e-05,"[0.2747238576412201, 1.0]",0.0092010498046875,"[0.2747238576412201, 1.0]",0.017586946487426758
5274,808,0.027450980392156862,whitenoise,0.2718210220336914,"[0.05029934761610896, 1]",7.295608520507812e-05,"[0.1838596612215042, 1.0]",0.008823156356811523,"[0.1838596612215042, 1.0]",0.015172004699707031
5275,808,0.03137254901960784,whitenoise,0.24783086776733398,"[0.017994463017114003, 1]",7.104873657226562e-05,"[0.09098376333713531, 1.0]",0.008002042770385742,"[0.09098376333713531, 1.0]",0.014418840408325195
5276,809,0.0,whitenoise,0.24537992477416992,"[0.879081825476196, 0.879081825476196]",6.413459777832031e-05,"[0.8790818452835083, 0.87908185]",0.007433891296386719,"[0.8790818452835083, 0.8790818452835083]",0.013885021209716797
5277,809,0.00392156862745098,whitenoise,0.23555779457092285,"[0.8469633259104566, 0.9141017335758582]",6.198883056640625e-05,"[0.8627833127975464, 0.8968895]",0.007628202438354492,"[0.8627833127975464, 0.8968895077705383]",0.014343738555908203
5278,809,0.00784313725490196,whitenoise,0.24058103561401367,"[0.7765256670332609, 0.9847284788038783]",6.29425048828125e-05,"[0.8252624869346619, 0.93169993]",0.007607936859130859,"[0.8252624869346619, 0.9316999316215515]",0.013986825942993164
5279,809,0.011764705882352941,whitenoise,0.25217223167419434,"[0.6538787476833924, 1]",6.198883056640625e-05,"[0.7722732424736023, 0.9541713]",0.0077610015869140625,"[0.7722732424736023, 0.9541712999343872]",0.014753103256225586
5280,809,0.01568627450980392,whitenoise,0.2633519172668457,"[0.5264418741191588, 1]",7.390975952148438e-05,"[0.6938766241073608, 0.9821676]",0.008870124816894531,"[0.6938766241073608, 0.9821676015853882]",0.015393733978271484
5281,809,0.0196078431372549,whitenoise,0.2394559383392334,"[0.4101560060966697, 1]",6.318092346191406e-05,"[0.6040675640106201, 1.0]",0.007380962371826172,"[0.6040675640106201, 1.0]",0.014522075653076172
5282,809,0.023529411764705882,whitenoise,0.26999998092651367,"[0.31327749213120576, 1]",7.390975952148438e-05,"[0.5181116461753845, 1.0]",0.008640050888061523,"[0.5181116461753845, 1.0]",0.015005826950073242
5283,809,0.027450980392156862,whitenoise,0.2583169937133789,"[0.2387888475497912, 1]",7.295608520507812e-05,"[0.4359998106956482, 1.0]",0.008693933486938477,"[0.4359998106956482, 1.0]",0.014928817749023438
5284,809,0.03137254901960784,whitenoise,0.25406503677368164,"[0.1775785583539595, 1]",7.581710815429688e-05,"[0.3649446964263916, 1.0]",0.008802175521850586,"[0.3649446964263916, 1.0]",0.014732122421264648
5285,809,0.03529411764705882,whitenoise,0.2466738224029541,"[0.124578625830629, 1]",7.295608520507812e-05,"[0.29882189631462097, 1.0]",0.008613109588623047,"[0.29882189631462097, 1.0]",0.014536142349243164
5286,809,0.0392156862745098,whitenoise,0.25972461700439453,"[0.08314712003337622, 1]",7.414817810058594e-05,"[0.2399287074804306, 1.0]",0.009024858474731445,"[0.2399287074804306, 1.0]",0.01638007164001465
5287,809,0.043137254901960784,whitenoise,0.2833089828491211,"[0.050096364225394596, 1]",7.486343383789062e-05,"[0.18342390656471252, 1.0]",0.009021997451782227,"[0.18342390656471252, 1.0]",0.01572132110595703
5288,809,0.047058823529411764,whitenoise,0.23885607719421387,"[0.026232903437603934, 1]",6.29425048828125e-05,"[0.11401787400245667, 1.0]",0.007667064666748047,"[0.11401787400245667, 1.0]",0.014896869659423828
5289,809,0.050980392156862744,whitenoise,0.2681598663330078,"[0.011543857384830351, 1]",6.29425048828125e-05,"[0.056746430695056915, 1.0]",0.007654905319213867,"[0.056746430695056915, 1.0]",0.01485896110534668
5290,809,0.054901960784313725,whitenoise,0.2813398838043213,"[0.0031257942325580005, 1]",7.390975952148438e-05,"[0.017304416745901108, 1.0]",0.009677886962890625,"[0.017304416745901108, 1.0]",0.016344070434570312
5291,810,0.0,whitenoise,0.2565450668334961,"[0.9461938924173775, 0.9461938924173775]",7.295608520507812e-05,"[0.9461938738822937, 0.9461939]",0.008620023727416992,"[0.9461938738822937, 0.9461938738822937]",0.014197826385498047
5292,810,0.00392156862745098,whitenoise,0.25450706481933594,"[0.8326951191768527, 1]",7.486343383789062e-05,"[0.9083573818206787, 0.9965976]",0.008996963500976562,"[0.9083573818206787, 0.9965975880622864]",0.015741825103759766
5293,810,0.00784313725490196,whitenoise,0.27918291091918945,"[0.6011504791880904, 1]",7.700920104980469e-05,"[0.7959983944892883, 1.0]",0.009253978729248047,"[0.7959983944892883, 1.0]",0.015607118606567383
5294,810,0.011764705882352941,whitenoise,0.2579672336578369,"[0.40179941059929647, 1]",6.341934204101562e-05,"[0.6190956234931946, 1.0]",0.0075647830963134766,"[0.6190956234931946, 1.0]",0.01468801498413086
